District,Confirmed,Active,Recovered,Deceased
Balod,102,10,92,0
Baloda Bazar,434,70,362,2
Balrampur,233,42,191,0
Bametara,130,3,127,0
Bastar,282,126,155,1
Bijapur,88,30,58,0
Bilaspur,745,148,591,6
Dakshin Bastar Dantewada,135,6,129,0
Dhamtari,46,8,37,1
Durg,977,301,667,9
Gariaband,106,22,83,1
Janjgir Champa,513,58,452,3
Jashpur,258,40,218,0
Kabeerdham,214,32,182,0
Kondagaon,148,73,75,0
Korba,428,40,388,0
Koriya,138,33,104,1
Mahasamund,193,83,108,2
Mungeli,174,6,168,0
Narayanpur,188,17,171,0
Raigarh,288,84,202,2
Raipur,3673,1310,2325,38
Rajnandgaon,817,215,597,5
Sukma,79,8,71,0
Surajpur,85,34,50,1
Surguja,244,20,222,2
Uttar Bastar Kanker,254,28,226,0
Gaurela Pendra Marwahi,32,1,31,0
